name,position
harry potter,6847
minerva mcgonagall,6863
harry potter,6976
harry potter,7043
minerva mcgonagall,7056
minerva mcgonagall,7111
harry potter,7126
harry potter,7168
minerva mcgonagall,7219
harry potter,7221
harry potter,7272
minerva mcgonagall,7277
minerva mcgonagall,7287
harry potter,7308
harry potter,7312
harry potter,7385
harry potter,7406
minerva mcgonagall,7413
harry potter,7508
bellatrix black,7589
harry potter,7616
minerva mcgonagall,7767
harry potter,7792
harry potter,7835
minerva mcgonagall,7839
minerva mcgonagall,7938
harry potter,7951
harry potter,7996
harry potter,8161
minerva mcgonagall,8183
harry potter,8185
minerva mcgonagall,8207
harry potter,8222
harry potter,8244
harry potter,8263
harry potter,8327
minerva mcgonagall,8391
harry potter,8415
minerva mcgonagall,8489
harry potter,8496
harry potter,8535
harry potter,8546
harry potter,8582
minerva mcgonagall,8585
harry potter,8614
harry potter,8625
minerva mcgonagall,8685
harry potter,8704
harry potter,8722
harry potter,8729
harry potter,8740
harry potter,8770
harry potter,8778
harry potter,8808
minerva mcgonagall,8812
james potter,8829
harry potter,8862
harry potter,8877
harry potter,8891
harry potter,8903
harry potter,8919
harry potter,8958
minerva mcgonagall,8991
harry potter,9014
harry potter,9026
minerva mcgonagall,9053
harry potter,9059
harry potter,9105
harry potter,9113
harry potter,9278
minerva mcgonagall,9299
harry potter,9311
harry potter,9364
harry potter,9447
minerva mcgonagall,9452
minerva mcgonagall,9466
harry potter,9500
minerva mcgonagall,9506
bellatrix black,9549
bellatrix black,9577
minerva mcgonagall,9626
harry potter,9635
harry potter,9636
harry potter,9686
harry potter,9700
minerva mcgonagall,9710
harry potter,9760
minerva mcgonagall,9770
harry potter,9772
harry potter,9855
harry potter,9912
harry potter,9979
harry potter,10005
draco malfoy,10017
draco malfoy,10020
draco malfoy,10028
harry potter,10040
draco malfoy,10062
harry potter,10094
harry potter,10100
draco malfoy,10109
draco malfoy,10142
draco malfoy,10164
harry potter,10197
harry potter,10215
harry potter,10290
lucius malfoy,10344
harry potter,10358
minerva mcgonagall,10362
draco malfoy,10425
harry potter,10488
harry potter,10548
draco malfoy,10575
harry potter,10579
harry potter,10585
draco malfoy,10588
harry potter,10590
harry potter,10607
harry potter,10610
harry potter,10645
harry potter,10676
harry potter,10687
draco malfoy,10705
bellatrix black,10723
draco malfoy,10796
harry potter,10815
lucius malfoy,10820
harry potter,10823
lucius malfoy,10826
harry potter,10845
harry potter,10873
lucius malfoy,10909
harry potter,10949
minerva mcgonagall,10959
minerva mcgonagall,10984
draco malfoy,10986
lucius malfoy,11016
minerva mcgonagall,11020
lucius malfoy,11059
draco malfoy,11061
minerva mcgonagall,11112
minerva mcgonagall,11128
minerva mcgonagall,11180
harry potter,11186
harry potter,11200
harry potter,11210
draco malfoy,11221
minerva mcgonagall,11245
draco malfoy,11313
harry potter,11323
minerva mcgonagall,11330
harry potter,11380
harry potter,11450
harry potter,11477
harry potter,11488
harry potter,11542
james potter,11543
minerva mcgonagall,11558
harry potter,11559
minerva mcgonagall,11606
harry potter,11635
minerva mcgonagall,11639
harry potter,11641
harry potter,11685
harry potter,11762
harry potter,11815
minerva mcgonagall,11827
harry potter,11866
harry potter,11867
minerva mcgonagall,11875
harry potter,11891
harry potter,11934
harry potter,12054
minerva mcgonagall,12140
harry potter,12157
harry potter,12183
harry potter,12261
harry potter,12320
harry potter,12387
minerva mcgonagall,12417
minerva mcgonagall,12449
harry potter,12542
harry potter,12548
harry potter,12612
harry potter,12631
harry potter,12720
harry potter,12772
james potter,12773
minerva mcgonagall,12805
harry potter,12829
minerva mcgonagall,12866
harry potter,12874
minerva mcgonagall,12896
harry potter,12901
harry potter,12946
minerva mcgonagall,12952
harry potter,12959
harry potter,13013
harry potter,13098
harry potter,13147
minerva mcgonagall,13151
harry potter,13160
minerva mcgonagall,13194
minerva mcgonagall,13218
harry potter,13225
harry potter,13284
lavender brown,13296
harry potter,13324
minerva mcgonagall,13346
harry potter,13395
minerva mcgonagall,13437
minerva mcgonagall,13453
minerva mcgonagall,13479
harry potter,13481
harry potter,13524
harry potter,13643
harry potter,13660
harry potter,13742
minerva mcgonagall,13778
harry potter,13792
bellatrix black,13822
minerva mcgonagall,13859
harry potter,13863
harry potter,13882
harry potter,13980
harry potter,14029
harry potter,14030
minerva mcgonagall,14037
harry potter,14044
harry potter,14058
harry potter,14089
harry potter,14115
harry potter,14156
harry potter,14206
harry potter,14216
minerva mcgonagall,14258
harry potter,14269
harry potter,14285
harry potter,14352
minerva mcgonagall,14399
harry potter,14408
harry potter,14426
minerva mcgonagall,14455
harry potter,14473
harry potter,14515
harry potter,14527
minerva mcgonagall,14881
harry potter,14882
harry potter,14936
harry potter,14946
minerva mcgonagall,14977
harry potter,14998
harry potter,15044
minerva mcgonagall,15127
harry potter,15137
harry potter,15155
harry potter,15196
harry potter,15246
bellatrix black,15249
harry potter,15311
harry potter,15392
harry potter,15406
minerva mcgonagall,15409
harry potter,15439
harry potter,15469
minerva mcgonagall,15517
minerva mcgonagall,15554
harry potter,15572
minerva mcgonagall,15595
harry potter,15724
minerva mcgonagall,15760
minerva mcgonagall,15778
harry potter,15784
minerva mcgonagall,15827
harry potter,15855
harry potter,15899
harry potter,15927
harry potter,15935
minerva mcgonagall,15955
minerva mcgonagall,16018
minerva mcgonagall,16025
harry potter,16058
harry potter,16151
harry potter,16172
minerva mcgonagall,16181
minerva mcgonagall,16252
harry potter,16267
harry potter,16272
harry potter,16284
bellatrix black,16400
minerva mcgonagall,16422
harry potter,16490
harry potter,16505
minerva mcgonagall,16520
harry potter,16533
harry potter,16544
harry potter,16569
harry potter,16613
harry potter,16620
minerva mcgonagall,16706
harry potter,16715
bellatrix black,16722
minerva mcgonagall,16755
harry potter,16780
harry potter,16824
harry potter,16831
harry potter,16859
minerva mcgonagall,16883
minerva mcgonagall,16910
harry potter,16943
minerva mcgonagall,16978
harry potter,16985
minerva mcgonagall,17012
harry potter,17013
harry potter,17050
harry potter,17090
minerva mcgonagall,17142
harry potter,17254
minerva mcgonagall,17261
peter pettigrew,17293
harry potter,17303
minerva mcgonagall,17306
harry potter,17325
harry potter,17374
minerva mcgonagall,17638
harry potter,17652
harry potter,17672
minerva mcgonagall,17714
harry potter,17716
harry potter,17731
harry potter,17780
minerva mcgonagall,17801
harry potter,17807
harry potter,17907
harry potter,17946
minerva mcgonagall,17980
bellatrix black,18005
bellatrix black,18024
minerva mcgonagall,18068
harry potter,18089
harry potter,18147
harry potter,18252
minerva mcgonagall,18281
harry potter,18284
harry potter,18305
harry potter,18309
minerva mcgonagall,18338
harry potter,18381
harry potter,18387
harry potter,18405
harry potter,18408
harry potter,18486
minerva mcgonagall,18498
harry potter,18516
harry potter,18635
minerva mcgonagall,18652
harry potter,18669
harry potter,18696
harry potter,18725
harry potter,18867
minerva mcgonagall,18926
harry potter,19041
minerva mcgonagall,19043
harry potter,19074
harry potter,19099
harry potter,19140
harry potter,19162
minerva mcgonagall,19212
harry potter,19236
albus dumbledore,19286
harry potter,19300
harry potter,19339
harry potter,19371
lucius malfoy,19415
harry potter,19425
minerva mcgonagall,19428
harry potter,19429
harry potter,19557
harry potter,19568
harry potter,19617
harry potter,19641
minerva mcgonagall,19651
harry potter,19670
harry potter,19700
minerva mcgonagall,19721
harry potter,19748
minerva mcgonagall,19756
harry potter,19845
harry potter,19855
minerva mcgonagall,19912
minerva mcgonagall,20047
harry potter,20066
minerva mcgonagall,20181
harry potter,20208
minerva mcgonagall,20264
minerva mcgonagall,20273
harry potter,20324
minerva mcgonagall,20389
minerva mcgonagall,20544
harry potter,20555
minerva mcgonagall,20601
harry potter,20605
harry potter,20658
minerva mcgonagall,20681
harry potter,20715
harry potter,20810
minerva mcgonagall,20889
harry potter,20959
harry potter,20985
minerva mcgonagall,20988
harry potter,21035
harry potter,21045
minerva mcgonagall,21096
harry potter,21100
harry potter,21112
minerva mcgonagall,21166
harry potter,21174
harry potter,21205
minerva mcgonagall,21228
harry potter,21238
harry potter,21279
harry potter,21295
hermione granger,21325
harry potter,21328
hermione granger,21342
harry potter,21358
minerva mcgonagall,21362
albus dumbledore,21370
minerva mcgonagall,21383
harry potter,21391
minerva mcgonagall,21392
albus dumbledore,21413
minerva mcgonagall,21421
harry potter,21564
james potter,21565
petunia evansverres,21612
harry potter,21624
harry potter,21647
harry potter,21648
petunia evansverres,21693
harry potter,21695
harry potter,21776
harry potter,21795
petunia evansverres,21796
harry potter,21814
harry potter,21829
harry potter,21955
harry potter,22038
harry potter,22049
harry potter,22160
harry potter,22168
harry potter,22180
harry potter,22278
harry potter,22401
minerva mcgonagall,22433
harry potter,22483
harry potter,22520
harry potter,22587
harry potter,22625
minerva mcgonagall,22674
harry potter,22683
harry potter,22687
harry potter,22702
harry potter,22713
harry potter,22776
harry potter,22797
harry potter,22841
harry potter,22863
harry potter,22871
harry potter,22930
harry potter,22978
george weasley,23073
harry potter,23076
fred weasley,23088
george weasley,23091
harry potter,23094
harry potter,23124
harry potter,23189
harry potter,23203
harry potter,23236
harry potter,23300
harry potter,23378
harry potter,23421
harry potter,23455
harry potter,23456
harry potter,23514
harry potter,23539
james potter,23540
harry potter,23561
harry potter,23594
ron weasley,23598
harry potter,23612
harry potter,23621
harry potter,23636
harry potter,23640
ron weasley,23653
harry potter,23691
harry potter,23719
bellatrix black,23737
harry potter,23755
ron weasley,23772
harry potter,23785
harry potter,23800
harry potter,23803
harry potter,23831
harry potter,23884
harry potter,23943
ron weasley,24070
harry potter,24183
harry potter,24351
harry potter,24399
harry potter,24427
harry potter,24456
draco malfoy,24464
harry potter,24505
draco malfoy,24510
draco malfoy,24521
harry potter,24522
draco malfoy,24526
lucius malfoy,24536
ron weasley,24555
harry potter,24566
bellatrix black,24573
harry potter,24574
ron weasley,24576
harry potter,24582
draco malfoy,24604
bellatrix black,24616
harry potter,24647
ron weasley,24663
harry potter,24665
draco malfoy,24689
ron weasley,24698
harry potter,24702
ron weasley,24717
harry potter,24718
draco malfoy,24727
draco malfoy,24734
draco malfoy,24750
ron weasley,24761
ron weasley,24783
ron weasley,24799
draco malfoy,24816
harry potter,24834
draco malfoy,24890
harry potter,24896
harry potter,24902
harry potter,24921
harry potter,24958
harry potter,24980
draco malfoy,25005
harry potter,25010
draco malfoy,25072
harry potter,25120
harry potter,25125
draco malfoy,25138
harry potter,25142
draco malfoy,25151
harry potter,25161
harry potter,25192
harry potter,25241
ron weasley,25266
harry potter,25267
draco malfoy,25283
harry potter,25310
harry potter,25322
lucius malfoy,25338
draco malfoy,25339
harry potter,25345
draco malfoy,25363
harry potter,25385
minerva mcgonagall,25401
harry potter,25436
draco malfoy,25456
harry potter,25459
draco malfoy,25469
draco malfoy,25542
harry potter,25616
draco malfoy,25618
draco malfoy,25636
draco malfoy,25641
harry potter,25647
draco malfoy,25698
lucius malfoy,25720
draco malfoy,25738
harry potter,25747
draco malfoy,25800
lucius malfoy,25838
draco malfoy,25851
harry potter,25853
minerva mcgonagall,25959
lucius malfoy,25973
minerva mcgonagall,25991
lucius malfoy,26015
harry potter,26024
draco malfoy,26026
draco malfoy,26055
draco malfoy,26087
draco malfoy,26097
harry potter,26177
draco malfoy,26191
draco malfoy,26203
harry potter,26205
draco malfoy,26248
harry potter,26278
harry potter,26310
draco malfoy,26346
harry potter,26358
harry potter,26369
harry potter,26374
harry potter,26395
draco malfoy,26399
harry potter,26400
harry potter,26453
draco malfoy,26456
harry potter,26468
harry potter,26476
draco malfoy,26547
harry potter,26572
draco malfoy,26596
harry potter,26603
draco malfoy,26656
harry potter,26659
harry potter,26696
draco malfoy,26703
harry potter,26707
harry potter,26715
lucius malfoy,26731
draco malfoy,26741
harry potter,26759
harry potter,26787
draco malfoy,26803
harry potter,26820
draco malfoy,26842
harry potter,26845
harry potter,26864
draco malfoy,26958
harry potter,27000
draco malfoy,27055
harry potter,27070
draco malfoy,27082
draco malfoy,27182
harry potter,27226
draco malfoy,27251
harry potter,27260
draco malfoy,27301
harry potter,27341
draco malfoy,27350
harry potter,27368
harry potter,27404
harry potter,27465
harry potter,27516
lucius malfoy,27568
harry potter,27606
draco malfoy,27657
draco malfoy,27662
draco malfoy,27674
harry potter,27677
draco malfoy,27701
harry potter,27723
harry potter,27760
draco malfoy,27798
harry potter,27817
harry potter,27848
harry potter,27905
harry potter,27929
draco malfoy,27972
draco malfoy,27979
draco malfoy,28003
harry potter,28023
draco malfoy,28041
harry potter,28094
draco malfoy,28126
harry potter,28185
draco malfoy,28193
harry potter,28206
draco malfoy,28238
harry potter,28307
draco malfoy,28345
draco malfoy,28376
harry potter,28427
harry potter,28546
harry potter,28571
draco malfoy,28578
draco malfoy,28635
draco malfoy,28640
draco malfoy,28647
draco malfoy,28677
draco malfoy,28751
draco malfoy,28816
albus dumbledore,28823
draco malfoy,28882
harry potter,28893
draco malfoy,28933
draco malfoy,28974
draco malfoy,29000
harry potter,29008
draco malfoy,29032
draco malfoy,29051
draco malfoy,29093
draco malfoy,29111
draco malfoy,29244
harry potter,29346
harry potter,29380
draco malfoy,29428
harry potter,29445
harry potter,29533
draco malfoy,29539
draco malfoy,29580
draco malfoy,29720
harry potter,29744
draco malfoy,29947
harry potter,29973
harry potter,29986
draco malfoy,29990
harry potter,30001
harry potter,30071
draco malfoy,30081
harry potter,30136
draco malfoy,30139
harry potter,30160
harry potter,30216
harry potter,30248
draco malfoy,30283
harry potter,30320
draco malfoy,30342
draco malfoy,30432
harry potter,30450
draco malfoy,30502
draco malfoy,30518
draco malfoy,30562
draco malfoy,30568
draco malfoy,30600
draco malfoy,30867
draco malfoy,30885
draco malfoy,31024
draco malfoy,31030
harry potter,31037
draco malfoy,31095
harry potter,31115
harry potter,31146
draco malfoy,31160
draco malfoy,31174
harry potter,31177
harry potter,31185
draco malfoy,31203
draco malfoy,31348
harry potter,31351
draco malfoy,31360
draco malfoy,31404
draco malfoy,31426
draco malfoy,31564
harry potter,31584
lucius malfoy,31628
draco malfoy,31667
draco malfoy,31675
harry potter,31692
draco malfoy,31706
harry potter,31709
harry potter,31806
draco malfoy,31863
draco malfoy,31948
draco malfoy,31951
draco malfoy,31969
draco malfoy,31982
harry potter,31985
harry potter,31996
draco malfoy,32001
harry potter,32004
harry potter,32014
draco malfoy,32019
draco malfoy,32022
harry potter,32034
harry potter,32052
harry potter,32069
draco malfoy,32077
draco malfoy,32086
draco malfoy,32095
draco malfoy,32115
draco malfoy,32121
harry potter,32131
harry potter,32233
draco malfoy,32247
harry potter,32250
draco malfoy,32342
draco malfoy,32460
hermione granger,32852
hermione granger,32869
hermione granger,32985
hermione granger,33126
hermione granger,33136
hermione granger,33170
hermione granger,33212
hermione granger,33302
hermione granger,33491
hermione granger,33500
hermione granger,33507
harry potter,33528
james potter,33529
harry potter,33532
harry potter,33566
hermione granger,33639
hermione granger,33657
hermione granger,33707
james potter,33762
lily potter,33765
lily potter,33768
albus dumbledore,33821
albus dumbledore,33825
harry potter,33908
hermione granger,33920
minerva mcgonagall,33928
hermione granger,33941
hermione granger,33942
hermione granger,34014
hermione granger,34057
hermione granger,34229
hermione granger,34232
hermione granger,34249
hermione granger,34318
hermione granger,34338
hermione granger,34357
hermione granger,34373
hermione granger,34526
hermione granger,34568
hermione granger,34616
hermione granger,34643
hermione granger,34705
hermione granger,34737
hermione granger,34820
hermione granger,34912
hermione granger,34995
hermione granger,35045
hermione granger,35345
hermione granger,35378
hermione granger,35441
hermione granger,35476
hermione granger,35504
hermione granger,35524
hermione granger,35569
hermione granger,35642
hermione granger,35694
hermione granger,36111
hermione granger,36115
hermione granger,36122
hermione granger,36127
hermione granger,36167
hermione granger,36213
hermione granger,36275
hermione granger,36526
hermione granger,36654
hermione granger,36702
hermione granger,36774
hermione granger,36778
hermione granger,36836
harry potter,36845
harry potter,36881
hermione granger,36906
neville longbottom,36935
hermione granger,36960
hermione granger,36991
hermione granger,37000
harry potter,37024
neville longbottom,37038
hermione granger,37045
harry potter,37050
harry potter,37075
hermione granger,37153
harry potter,37203
neville longbottom,37220
harry potter,37249
harry potter,37287
harry potter,37290
harry potter,37296
neville longbottom,37307
hermione granger,37334
harry potter,37341
hermione granger,37362
harry potter,37373
fred weasley,37386
george weasley,37388
hermione granger,37478
fred weasley,37488
george weasley,37490
hermione granger,37848
harry potter,37951
hermione granger,37977
harry potter,37984
harry potter,38084
neville longbottom,38098
neville longbottom,38100
hermione granger,38170
harry potter,38176
neville longbottom,38199
harry potter,38203
neville longbottom,38223
hermione granger,38301
harry potter,38324
neville longbottom,38333
harry potter,38340
harry potter,38376
hannah abbott,38607
hannah abbott,38608
amelia bones,38611
susan bones,38612
harry potter,38619
minerva mcgonagall,38710
hermione granger,38731
harry potter,38802
minerva mcgonagall,38818
harry potter,38875
harry potter,38878
harry potter,38889
harry potter,38922
harry potter,39041
hermione granger,39044
hermione granger,39047
harry potter,39070
penelope clearwater,39099
harry potter,39101
filius flitwick,39121
harry potter,39144
harry potter,39168
hermione granger,39172
harry potter,39181
harry potter,39195
harry potter,39273
harry potter,39297
harry potter,39395
hermione granger,39427
hermione granger,39440
harry potter,39452
minerva mcgonagall,39457
hermione granger,39463
harry potter,39466
hermione granger,39502
hermione granger,39503
hermione granger,39504
harry potter,39530
hermione granger,39532
harry potter,39588
hermione granger,39592
hermione granger,39613
hermione granger,39630
harry potter,39641
harry potter,39667
hermione granger,39686
neville longbottom,39709
harry potter,39714
neville longbottom,39742
harry potter,39770
harry potter,39792
neville longbottom,39805
draco malfoy,39834
draco malfoy,39835
harry potter,39840
minerva mcgonagall,39871
minerva mcgonagall,39937
harry potter,39944
harry potter,39945
harry potter,39970
harry potter,39983
harry potter,40040
fred weasley,40047
george weasley,40049
harry potter,40053
ron weasley,40058
harry potter,40083
harry potter,40085
harry potter,40087
harry potter,40090
harry potter,40120
harry potter,40122
harry potter,40124
minerva mcgonagall,40137
sybill trelawney,40151
filius flitwick,40155
albus dumbledore,40176
harry potter,40220
ron weasley,40245
ron weasley,40251
ron weasley,40280
harry potter,40336
harry potter,40374
harry potter,40395
harry potter,40465
harry potter,40502
harry potter,40586
harry potter,40588
harry potter,40590
harry potter,40592
harry potter,40711
harry potter,40973
harry potter,41245
harry potter,41581
harry potter,41742
harry potter,41816
harry potter,41978
harry potter,42034
harry potter,42242
harry potter,42315
minerva mcgonagall,42331
hermione granger,42354
neville longbottom,42360
harry potter,42368
minerva mcgonagall,42395
harry potter,42920
harry potter,43040
harry potter,43158
neville longbottom,43228
neville longbottom,43297
neville longbottom,43317
harry potter,43386
minerva mcgonagall,43612
harry potter,43729
harry potter,44055
harry potter,44092
ron weasley,44401
harry potter,44406
harry potter,44463
harry potter,44519
albus dumbledore,44546
minerva mcgonagall,44577
harry potter,44588
harry potter,44619
albus dumbledore,44624
harry potter,44641
minerva mcgonagall,44652
harry potter,44787
harry potter,44845
harry potter,44940
minerva mcgonagall,44986
harry potter,45005
harry potter,45109
albus dumbledore,45116
harry potter,45123
albus dumbledore,45147
harry potter,45158
harry potter,45181
harry potter,45182
james potter,45183
fred weasley,45382
george weasley,45384
fred weasley,45405
george weasley,45407
harry potter,45412
draco malfoy,45432
harry potter,45437
neville longbottom,45509
minerva mcgonagall,45550
harry potter,45602
harry potter,45603
albus dumbledore,45690
harry potter,45698
fred weasley,45757
george weasley,45759
harry potter,45781
ron weasley,45788
harry potter,45807
ron weasley,45820
harry potter,45857
minerva mcgonagall,45901
sybill trelawney,45925
filius flitwick,45929
albus dumbledore,45956
harry potter,45991
harry potter,46004
harry potter,46073
harry potter,46111
harry potter,46130
harry potter,46245
harry potter,46282
harry potter,46397
harry potter,46669
albus dumbledore,46847
harry potter,46852
minerva mcgonagall,46863
minerva mcgonagall,46894
albus dumbledore,46921
harry potter,47092
harry potter,47127
fred weasley,47130
fred weasley,47161
draco malfoy,47304
draco malfoy,47313
draco malfoy,47325
harry potter,47357
harry potter,47399
draco malfoy,47401
albus dumbledore,47491
minerva mcgonagall,47522
harry potter,47533
harry potter,47561
harry potter,47597
harry potter,47625
albus dumbledore,47628
minerva mcgonagall,47634
harry potter,47637
harry potter,47707
albus dumbledore,47713
albus dumbledore,47746
minerva mcgonagall,47808
harry potter,47833
minerva mcgonagall,47843
harry potter,47855
albus dumbledore,47905
harry potter,47929
harry potter,47971
harry potter,47986
harry potter,48023
harry potter,48091
minerva mcgonagall,48154
minerva mcgonagall,48168
minerva mcgonagall,48219
harry potter,48283
harry potter,48292
albus dumbledore,48312
harry potter,48313
harry potter,48341
harry potter,48393
draco malfoy,48478
ron weasley,48554
ron weasley,48568
harry potter,48575
blaise zabini,48612
blaise zabini,48613
harry potter,48619
blaise zabini,48621
blaise zabini,48633
harry potter,48643
blaise zabini,48646
blaise zabini,48647
blaise zabini,48663
albus dumbledore,48666
harry potter,48688
hermione granger,48699
albus dumbledore,48703
harry potter,48711
albus dumbledore,48729
albus dumbledore,48791
harry potter,48801
albus dumbledore,48848
harry potter,48872
albus dumbledore,48902
albus dumbledore,48936
harry potter,48940
albus dumbledore,49014
harry potter,49049
harry potter,49057
harry potter,49081
harry potter,49120
harry potter,49175
draco malfoy,49204
draco malfoy,49205
harry potter,49230
albus dumbledore,49261
harry potter,49313
albus dumbledore,49322
harry potter,49345
harry potter,49354
harry potter,49362
harry potter,49427
harry potter,49527
harry potter,49589
harry potter,49626
harry potter,49633
padma patil,49665
harry potter,49692
harry potter,49808
harry potter,49830
harry potter,49887
harry potter,49924
hermione granger,50080
hermione granger,50107
hermione granger,50131
draco malfoy,50211
harry potter,50236
harry potter,50247
harry potter,50402
minerva mcgonagall,50510
draco malfoy,50513
hermione granger,50515
harry potter,50545
harry potter,50569
neville longbottom,50618
harry potter,50648
albus dumbledore,50675
harry potter,50683
harry potter,50699
neville longbottom,50761
albus dumbledore,50793
harry potter,50950
harry potter,50952
ron weasley,51001
harry potter,51087
harry potter,51201
harry potter,51223
harry potter,51260
harry potter,51503
harry potter,51545
harry potter,51850
albus dumbledore,51860
albus dumbledore,51867
harry potter,51960
harry potter,52024
harry potter,52195
harry potter,52210
harry potter,52279
harry potter,52328
harry potter,52331
harry potter,52362
harry potter,52434
harry potter,52449
harry potter,52485
harry potter,52532
harry potter,52585
harry potter,52619
harry potter,52692
harry potter,52775
harry potter,52813
harry potter,52950
harry potter,52976
harry potter,53050
harry potter,53053
harry potter,53067
albus dumbledore,53158
harry potter,53159
harry potter,53182
harry potter,53201
albus dumbledore,53224
albus dumbledore,53281
harry potter,53302
harry potter,53346
harry potter,53370
harry potter,53411
harry potter,53451
harry potter,53521
harry potter,53588
harry potter,53625
harry potter,53654
harry potter,53751
harry potter,53801
harry potter,53836
harry potter,53851
harry potter,53882
harry potter,53900
harry potter,53927
harry potter,54026
harry potter,54116
harry potter,54157
harry potter,54218
albus dumbledore,54296
tom riddle,54334
tom riddle,54369
harry potter,54378
harry potter,54415
harry potter,54478
harry potter,54535
harry potter,54569
harry potter,54603
harry potter,54689
harry potter,54759
harry potter,54814
harry potter,54961
harry potter,54986
harry potter,55076
harry potter,55161
harry potter,55249
harry potter,55257
harry potter,55286
harry potter,55406
neville longbottom,55415
harry potter,55422
neville longbottom,55429
neville longbottom,55433
harry potter,55439
neville longbottom,55444
harry potter,55462
harry potter,55481
neville longbottom,55490
harry potter,55504
harry potter,55567
neville longbottom,55604
harry potter,55653
harry potter,55711
harry potter,55735
harry potter,55785
harry potter,55796
neville longbottom,55817
harry potter,55853
harry potter,55933
harry potter,55947
harry potter,55978
harry potter,56049
harry potter,56069
harry potter,56131
harry potter,56174
harry potter,56253
harry potter,56266
harry potter,56358
harry potter,56429
harry potter,56439
harry potter,56553
harry potter,56610
harry potter,56644
harry potter,56713
harry potter,56733
harry potter,56745
harry potter,56763
harry potter,56842
harry potter,56869
harry potter,56977
neville longbottom,56996
harry potter,57036
harry potter,57060
harry potter,57145
harry potter,57167
hermione granger,57181
harry potter,57291
harry potter,57339
harry potter,57409
harry potter,57416
harry potter,57448
neville longbottom,57469
neville longbottom,57475
neville longbottom,57487
harry potter,57507
neville longbottom,57534
harry potter,57576
neville longbottom,57657
harry potter,57696
harry potter,57709
neville longbottom,57775
neville longbottom,57866
neville longbottom,57879
harry potter,57888
neville longbottom,57918
harry potter,57930
neville longbottom,57940
harry potter,57965
neville longbottom,57976
harry potter,57983
neville longbottom,58042
harry potter,58048
harry potter,58144
harry potter,58257
harry potter,58290
harry potter,58370
harry potter,58392
harry potter,58404
